时间,币价,挖矿难度
"2017-07-14 00:00","199.66233826","1207944998994757.5000000000",
"2017-07-15 00:00","170.65452576","1243781955464279.0000000000",
"2017-07-16 00:00","157.36277771","1204494095368084.2000000000",
"2017-07-17 00:00","193.42442322","1213897355554126.2000000000",
"2017-07-18 00:00","234.39085388","1233998957753971.0000000000",
"2017-07-19 00:00","199.70274353","1271418308086240.5000000000",
"2017-07-20 00:00","227.26464844","1304970901023227.5000000000",
"2017-07-21 00:00","218.30462646","1278259908802191.8000000000",
"2017-07-22 00:00","229.47618103","1315027849307404.0000000000",
"2017-07-23 00:00","225.95077515","1302508499778482.0000000000",
"2017-07-24 00:00","224.71099854","1328374995592847.0000000000",
