时间,币价,平均算力
"2020-05-21 00:00","204.7240013481","178274961702340.0000000000",
"2020-05-22 00:00","207.7061460066","183769483736440.0000000000",
"2020-05-23 00:00","205.714029594","182761406067800.0000000000",
"2020-05-24 00:00","202.5465630487","178237465549970.0000000000",
"2020-05-25 00:00","197.912374982","179229580896490.0000000000",
"2020-05-26 00:00","205.9258610863","182848867026060.0000000000",
"2020-05-27 00:00","214.3037886602","178637555298720.0000000000",
"2020-05-28 00:00","219.2674028962","181026597186960.0000000000",
"2020-05-29 00:00","235.1581314694","183448863013330.0000000000",
"2020-05-30 00:00","233.566015165","186408870199120.0000000000",
"2020-05-31 00:00","237.8129799293","182653399012980.0000000000",
"2020-06-01 00:00","233.9299018338","185086675040340.0000000000",
"2020-06-02 00:00","239.4880589288","186560545367250.0000000000",
"2020-06-03 00:00","244.7085409315","187369990213430.0000000000",
"2020-06-04 00:00","241.7279006405","186073134599820.0000000000",
"2020-06-05 00:00","242.4426112955","186058469722800.0000000000",
"2020-06-06 00:00","237.2855648881","188556856187320.0000000000",
"2020-06-07 00:00","242.9187177766","185022870276400.0000000000",
"2020-06-08 00:00","243.2946456998","183289484192280.0000000000",
"2020-06-09 00:00","243.9526771789","179061170571510.0000000000",
"2020-06-10 00:00","239.1980508253","181455692753950.0000000000",
"2020-06-11 00:00","236.3824234295","182330721713590.0000000000",
"2020-06-12 00:00","237.2049532927","182738505208410.0000000000",
"2020-06-13 00:00","235.6975386734","183610717293220.0000000000",
"2020-06-14 00:00","226.2091807478","183323527166280.0000000000",
"2020-06-15 00:00","233.0288915024","186199187098980.0000000000",
"2020-06-16 00:00","231.7610630934","181586314581410.0000000000",
"2020-06-17 00:00","231.745983771","183047177164700.0000000000",
"2020-06-18 00:00","230.7624399981","187063580102400.0000000000",
"2020-06-19 00:00","226.7307210815","187915283042914.0000000000",
"2020-06-20 00:00","230.0784037118","187583048417660.0000000000",
"2020-06-21 00:00","241.2105605377","184147453645850.0000000000",
"2020-06-22 00:00","243.3555371983","187652704836520.0000000000",
"2020-06-23 00:00","231.5757018051","189004753545240.0000000000",
"2020-06-24 00:00","233.0257244079","191623273002770.0000000000",
"2020-06-25 00:00","229.5400481887","191503061273360.0000000000",
"2020-06-26 00:00","227.2678956176","187735467536520.0000000000",
"2020-06-27 00:00","224.9650043705","188045827989600.0000000000",
"2020-06-28 00:00","223.9209035751","189986863604200.0000000000",
"2020-06-29 00:00","226.1556443707","189203997230330.0000000000",
"2020-06-30 00:00","229.1102326234","185550150845230.0000000000",
"2020-07-01 00:00","225.9806873545","186911563206410.0000000000",
"2020-07-02 00:00","226.8053493887","190398643293511.0000000000",
"2020-07-03 00:00","226.3398414387","190439350603970.0000000000",
"2020-07-04 00:00","225.1839728133","188951064445330.0000000000",
"2020-07-05 00:00","238.1863378775","190275858512780.0000000000",
"2020-07-06 00:00","238.4178238515","188110889898520.0000000000",
"2020-07-07 00:00","245.3719777202","194437750141990.0000000000",
"2020-07-08 00:00","240.4688623859","191389567070740.0000000000",
"2020-07-09 00:00","240.3105659559","188568396895130.0000000000",
"2020-07-10 00:00","239.9083215016","192491001432190.0000000000",
"2020-07-11 00:00","237.7215938768","193603614354590.0000000000",
"2020-07-12 00:00","242.3294917565","195187487613000.0000000000",
"2020-07-13 00:00","240.6886110879","190755179390734.0000000000",
"2020-07-14 00:00","238.8173790951","190147080601320.0000000000",
"2020-07-15 00:00","232.9959768557","190639176883880.0000000000",
"2020-07-16 00:00","232.7665491263","186766174432460.0000000000",
"2020-07-17 00:00","234.9478510899","192879697762230.0000000000",
"2020-07-18 00:00","234.10028135","191819525838520.0000000000",
"2020-07-19 00:00","237.8612371756","187918469505380.0000000000",
"2020-07-20 00:00","243.6028534259","182581243674350.0000000000",
"2020-07-21 00:00","244.5145766617","180688788019070.0000000000",
"2020-07-22 00:00","268.7488910759","189793694968850.0000000000",
"2020-07-23 00:00","277.5545662281","195800645477940.0000000000",
"2020-07-24 00:00","286.0246706517","186974815387850.0000000000",
"2020-07-25 00:00","311.4237246297","194560916584750.0000000000",
"2020-07-26 00:00","315.7041460668","194653034671786.0000000000",
"2020-07-27 00:00","321.1379526097","200567071098470.0000000000",
"2020-07-28 00:00","321.6862746033","201593861667680.0000000000",
"2020-07-29 00:00","318.6213625444","196455823694270.0000000000",
"2020-07-30 00:00","343.4443596801","191022549646560.0000000000",
"2020-07-31 00:00","357.7845159065","195166820122240.0000000000",
"2020-08-01 00:00","369.1946474096","200611809030310.0000000000",
"2020-08-02 00:00","392.3907808692","193862534497400.0000000000",
"2020-08-03 00:00","390.2265846029","195075381577840.0000000000",
"2020-08-04 00:00","395.5466240917","194386861791890.0000000000",
"2020-08-05 00:00","398.0885815097","197253550679490.0000000000",
"2020-08-06 00:00","385.5051388711","200374314120920.0000000000",
"2020-08-07 00:00","390.5101448284","201241657972210.0000000000",
"2020-08-08 00:00","386.3115204028","206636642971720.0000000000",
"2020-08-09 00:00","396.1066612459","204232765645290.0000000000",
"2020-08-10 00:00","383.0479922791","201382514966850.0000000000",
"2020-08-11 00:00","385.060755804","204993920410380.0000000000",
"2020-08-12 00:00","392.2263295197","204906855863970.0000000000",
"2020-08-13 00:00","435.0492223095","213000842197490.0000000000",
"2020-08-14 00:00","436.862696385","216247877083330.0000000000",
