时间,币价,链上交易量
"2018-11-28 00:00","122.43751526","3622676.1062105800",
"2018-11-29 00:00","117.5426452","17444117.8265251200",
"2018-11-30 00:00","113.1714211","15056993.0083256200",
"2018-12-01 00:00","118.63555864","1418884.5194525900",
"2018-12-02 00:00","116.38889933","2275264.9319304000",
"2018-12-03 00:00","108.92501783","2280698.5682660300",
"2018-12-04 00:00","110.21418959","2875231.9169839600",
"2018-12-05 00:00","102.47555556","3814294.3364386200",
"2018-12-06 00:00","91.76105616","4893099.0913895300",
"2018-12-07 00:00","93.29456401","2710195.9285049200",
"2018-12-08 00:00","92.15963969","2369621.8234814300",
"2018-12-09 00:00","95.14205948","2488181.6828734800",
"2018-12-10 00:00","91.68565676","2573334.3572490000",
"2018-12-11 00:00","88.94530321","2327490.1335876500",
"2018-12-12 00:00","90.59330191","2995971.5849992700",
"2018-12-13 00:00","86.53931489","2703996.8611368700",
"2018-12-14 00:00","84.30829593","1821237.8979353600",
"2018-12-15 00:00","84.44080953","1828129.8040997800",
"2018-12-16 00:00","85.26209693","3457459.8874142700",
"2018-12-17 00:00","95.13382712","3232928.6182962600",
"2018-12-18 00:00","101.1124558","4338096.8838806600",
"2018-12-19 00:00","101.26857523","4425331.0349962300",
"2018-12-20 00:00","116.21687011","4502979.6253593600",
"2018-12-21 00:00","109.49623355","2107382.5666269800",
"2018-12-22 00:00","116.75949916","2955331.8876267700",
"2018-12-23 00:00","130.7652598","3920086.2919348100",
"2018-12-24 00:00","140.23800256","2415494.0409184400",
"2018-12-25 00:00","129.84435176","2141568.7613800300",
"2018-12-26 00:00","131.86562737","2829084.8674118800",
"2018-12-27 00:00","116.57591051","2981550.2382850100",
"2018-12-28 00:00","137.64701331","3777948.9732867000",
"2018-12-29 00:00","138.01833478","1623330.7700232800",
"2018-12-30 00:00","139.85945289","2097419.7531014700",
"2018-12-31 00:00","133.36826344","1663220.9465765400",
"2019-01-01 00:00","140.81941316","2742008.4291465800",
"2019-01-02 00:00","155.04767721","2496201.6649235500",
"2019-01-03 00:00","149.13500338","3822117.5534060500",
"2019-01-04 00:00","154.58194227","4174004.3413525500",
"2019-01-05 00:00","155.63858948","2404617.8498409200",
"2019-01-06 00:00","157.74619931","2624974.4832410400",
"2019-01-07 00:00","151.69921345","2341804.9220136400",
"2019-01-08 00:00","150.35963344","2193748.4527440700",
"2019-01-09 00:00","150.80311047","3152601.5497564500",
"2019-01-10 00:00","128.62518594","3884310.5622643000",
"2019-01-11 00:00","127.54832487","1485545.5279077500",
"2019-01-12 00:00","125.9665328","1773340.9847314600",
"2019-01-13 00:00","116.89780148","3458080.8144503600",
"2019-01-14 00:00","129.0687326","2383768.1446273200",
"2019-01-15 00:00","122.03271232","2648468.3739686100",
"2019-01-16 00:00","123.54706154","2157154.0063640500",
"2019-01-17 00:00","123.74192167","1767528.8289694400",
"2019-01-18 00:00","121.0102652","1458592.1983947200",
"2019-01-19 00:00","124.51902121","1719767.7682281500",
"2019-01-20 00:00","119.47482896","1836706.7154650300",
"2019-01-21 00:00","117.15785223","1842306.6710717800",
"2019-01-22 00:00","118.74755091","1990636.3091228000",
"2019-01-23 00:00","117.45260925","2378625.5651969700",
"2019-01-24 00:00","117.36288641","1971436.9935999200",
"2019-01-25 00:00","116.37834358","1290249.4632941600",
"2019-01-26 00:00","116.48873846","1869090.0620120300",
"2019-01-27 00:00","113.4052919","3249535.5629019000",
"2019-01-28 00:00","106.58997682","2283474.6833933000",
"2019-01-29 00:00","105.59821378","2366180.3566491800",
"2019-01-30 00:00","108.90753982","2356700.2432299200",
"2019-01-31 00:00","107.06101306","1955694.9025815400",
"2019-02-01 00:00","107.60978689","1218731.0461093500",
"2019-02-02 00:00","110.4302619","1299699.5262276400",
"2019-02-03 00:00","107.49267146","1027598.7689990500",
"2019-02-04 00:00","107.82160343","990290.7533989000",
"2019-02-05 00:00","107.44352017","1754603.0827788700",
"2019-02-06 00:00","104.91928987","1450070.5491919400",
"2019-02-07 00:00","104.53529857","2153096.3283788300",
"2019-02-08 00:00","119.26774886","1158402.8261021400",
"2019-02-09 00:00","119.43088331","1448808.1389844700",
"2019-02-10 00:00","124.80648495","1909262.7893281900",
"2019-02-11 00:00","121.29839599","1535412.4739122000",
"2019-02-12 00:00","122.57229106","1804430.2378644200",
"2019-02-13 00:00","122.55360255","1666614.5183479200",
"2019-02-14 00:00","121.39020373","1556760.8599924400",
"2019-02-15 00:00","122.10038737","1079090.8964509400",
"2019-02-16 00:00","123.26021305","1757046.1006011900",
"2019-02-17 00:00","133.59888295","3013046.5579479500",
"2019-02-18 00:00","146.09837101","2777423.9869083300",
"2019-02-19 00:00","145.34618357","2226522.7863007800",
"2019-02-20 00:00","149.55434396","2148847.3987524100",
"2019-02-21 00:00","146.13084429","2111156.8879264300",
"2019-02-22 00:00","149.09245426","1531872.6697707100",
"2019-02-23 00:00","158.79542978","2876372.1111572400",
"2019-02-24 00:00","135.85265356","3724676.3677363100",
"2019-02-25 00:00","139.8228555","1885230.0503677000",
"2019-02-26 00:00","138.08968196","2925709.6974378000",
"2019-02-27 00:00","136.12595451","2355931.7285975800",
"2019-02-28 00:00","136.74625201","1860507.3481659500",
"2019-03-01 00:00","136.44362278","1490570.5944488400",
"2019-03-02 00:00","134.2069553","1700420.0030071700",
"2019-03-03 00:00","132.24941712","2501269.9826894000",
"2019-03-04 00:00","127.77412126","2338021.8377371400",
"2019-03-05 00:00","137.8223848","2206409.1742879200",
"2019-03-06 00:00","138.78935408","2139380.3944931800",
"2019-03-07 00:00","138.03450239","2409746.0595161100",
"2019-03-08 00:00","135.127075","1827981.2848499900",
"2019-03-09 00:00","137.96533555","1716402.6835182000",
"2019-03-10 00:00","136.75868314","2469461.2666605800",
"2019-03-11 00:00","133.83403156","2369168.2017207200",
"2019-03-12 00:00","134.44288873","2073097.8565124700",
"2019-03-13 00:00","133.26307623","2285826.4911567500",
"2019-03-14 00:00","133.71159976","2202612.2619509000",
"2019-03-15 00:00","137.69178379","1924366.9398958200",
"2019-03-16 00:00","142.3981758","1753845.6885993100",
"2019-03-17 00:00","140.0005495","2595749.5080252600",
"2019-03-18 00:00","139.37460061","1901124.7854226500",
"2019-03-19 00:00","140.51919919","2892643.8978126700",
"2019-03-20 00:00","140.68636173","2499652.1403851000",
"2019-03-21 00:00","136.6360607","2076679.2459602300",
"2019-03-22 00:00","137.18143503","2571875.6076872200",
"2019-03-23 00:00","138.23987455","1785984.6994652200",
"2019-03-24 00:00","136.98692523","2877417.1268116600",
"2019-03-25 00:00","135.03102752","2554971.1641950600",
"2019-03-26 00:00","135.46035286","2297827.5608232500",
"2019-03-27 00:00","140.98815754","2338543.1953183800",
"2019-03-28 00:00","139.41647756","2592731.0232512100",
"2019-03-29 00:00","142.49741712","2517297.1883596200",
"2019-03-30 00:00","142.09268062","2182034.4821529800",
"2019-03-31 00:00","141.51409411","2446866.3342538400",
"2019-04-01 00:00","141.83032435","4118770.3018368800",
"2019-04-02 00:00","163.96174182","4184739.1098462100",
"2019-04-03 00:00","161.45880133","2909181.1617471100",
"2019-04-04 00:00","158.05253782","2696609.6565339500",
"2019-04-05 00:00","165.51484595","1864086.0621127900",
"2019-04-06 00:00","165.94720802","2408224.8599843300",
"2019-04-07 00:00","174.53164738","3791987.1217954500",
"2019-04-08 00:00","180.25881539","3348679.7250393600",
"2019-04-09 00:00","176.11457453","2861163.3440121000",
"2019-04-10 00:00","163.7963","2937600.3357663800",
"2019-04-11 00:00","164.0234","2517051.7110159100",
"2019-04-12 00:00","163.8764","1529212.9504208900",
"2019-04-13 00:00","163.9254","1742540.1794883100",
"2019-04-14 00:00","166.0319","2557170.3526792800",
"2019-04-15 00:00","162.552617","2219684.6669712200",
"2019-04-16 00:00","166.152101","2229322.3304187000",
"2019-04-17 00:00","171.92948","2632801.2462549900",
"2019-04-18 00:00","172.988423","2313734.2311355700",
"2019-04-19 00:00","172.469599","1878097.1794435000",
"2019-04-20 00:00","167.648011","2005704.7371638800",
"2019-04-21 00:00","171.583045","2407467.8912771000",
"2019-04-22 00:00","174.031111","2774954.5178367400",
"2019-04-23 00:00","164.406387","3482929.6925214300",
"2019-04-24 00:00","164.233606","3154446.8260210100",
"2019-04-25 00:00","156.198933","4521996.7193939900",
"2019-04-26 00:00","158.124809","1917200.3271815000",
"2019-04-27 00:00","158.840244","2320797.5260805100",
"2019-04-28 00:00","154.652093","3086454.6264122600",
"2019-04-29 00:00","158.703391","2963662.8901896900",
"2019-04-30 00:00","160.97375","2620421.3621080300",
"2019-05-01 00:00","161.924961","2104888.8476340800",
"2019-05-02 00:00","168.216036","2525388.4560798000",
"2019-05-03 00:00","162.949426","1986201.5609134400",
"2019-05-04 00:00","163.673028","1854079.9759800700",
"2019-05-05 00:00","168.121627","3006866.8355053800",
"2019-05-06 00:00","173.051936","3393020.0552789400",
"2019-05-07 00:00","170.727188","3109613.9645293000",
"2019-05-08 00:00","169.416419","2845516.7210566200",
