时间,币价,持仓量
"2021-10-03 00:00","3315.9554334761","3133360.7383250003",
"2021-10-04 00:00","3424.9177726989","3133146.72896",
"2021-10-05 00:00","3622.0298361484","3132932.719595",
"2021-10-06 00:00","3591.1948856501","3132718.7102300003",
"2021-10-07 00:00","3622.5874977463","3132504.700865",
"2021-10-08 00:00","3607.3615244226","3132504.700865",
"2021-10-09 00:00","3564.2610293379","3132504.700865",
"2021-10-10 00:00","3603.7546867675","3132504.700865",
"2021-10-11 00:00","3508.7305177239","3131645.56182",
"2021-10-12 00:00","3498.0771043626","3131431.5524549996",
"2021-10-13 00:00","3810.9133186535","3131217.54309",
"2021-10-14 00:00","3805.343719571","3131003.533725",
"2021-10-15 00:00","3917.5899926156","3131003.533725",
"2021-10-16 00:00","3802.3819157825","3131003.533725",
"2021-10-17 00:00","3775.6879108652","3130358.4040449997",
"2021-10-18 00:00","3796.1836432028","3130144.39468",
"2021-10-19 00:00","4083.2931815582","3129930.385315",
"2021-10-20 00:00","4100.4093054708","3129716.37595",
"2021-10-21 00:00","3987.76755445","3129502.366585",
