时间,币价,发行量
"2020-03-10 00:00","192.2129344683","107446198.6557300000",
"2020-03-11 00:00","139.816269029","107459121.5307300000",
"2020-03-12 00:00","122.8524312309","107471909.8432300000",
"2020-03-13 00:00","126.6898441068","107484912.8432300000",
"2020-03-14 00:00","125.3182346066","107497962.3432300000",
"2020-03-15 00:00","114.581581606","107510961.5307300000",
"2020-03-16 00:00","116.5784646731","107524003.0307300000",
"2020-03-17 00:00","115.9722417135","107537088.6557300000",
"2020-03-18 00:00","126.5319632489","107550078.5932300000",
"2020-03-19 00:00","141.7850499075","107562977.5307300000",
"2020-03-20 00:00","132.6466683126","107575899.5307300000",
"2020-03-21 00:00","128.0316606908","107588534.0932300000",
"2020-03-22 00:00","129.0334864191","107601465.0307300000",
"2020-03-23 00:00","135.5541654715","107614194.7807300000",
"2020-03-24 00:00","136.0426481348","107626976.9682300000",
"2020-03-25 00:00","134.2703803665","107639957.0932300000",
"2020-03-26 00:00","135.6715210851","107653088.1557300000",
"2020-03-27 00:00","128.5327613077","107666086.5307300000",
"2020-03-28 00:00","128.8204225913","107679255.0932300000",
"2020-03-29 00:00","133.0551208447","107692198.8432300000",
"2020-03-30 00:00","132.577702934","107705166.5307300000",
"2020-03-31 00:00","131.2131510912","107718295.7807300000",
"2020-04-01 00:00","139.0424371682","107731286.7807300000",
"2020-04-02 00:00","141.5075644192","107744362.0307300000",
"2020-04-03 00:00","142.0903945855","107757365.2807300000",
"2020-04-04 00:00","143.6343531841","107770400.2182300000",
"2020-04-05 00:00","160.3504647741","107783290.0932300000",
"2020-04-06 00:00","169.2739512017","107796422.4682300000",
"2020-04-07 00:00","168.9537568157","107809448.9057300000",
"2020-04-08 00:00","169.4900946398","107822431.0932300000",
"2020-04-09 00:00","153.506846879","107835485.9057300000",
"2020-04-10 00:00","157.544499418","107848333.8432300000",
"2020-04-11 00:00","161.6979907574","107861517.0932300000",
"2020-04-12 00:00","154.2772145075","107874561.5932300000",
"2020-04-13 00:00","159.5703159514","107887549.0932300000",
"2020-04-14 00:00","156.0101197986","107900556.4682300000",
"2020-04-15 00:00","172.4244739946","107913520.1557300000",
"2020-04-16 00:00","169.9339303099","107926434.4057300000",
"2020-04-17 00:00","184.1022070464","107939346.4682300000",
"2020-04-18 00:00","179.8352565422","107952345.2182300000",
"2020-04-19 00:00","179.3484706093","107965362.0932300000",
"2020-04-20 00:00","170.3503758251","107978261.5307300000",
"2020-04-21 00:00","182.3934106121","107991251.8432300000",
"2020-04-22 00:00","189.2630359355","108004186.6557300000",
"2020-04-23 00:00","187.6215739091","108017163.4682300000",
"2020-04-24 00:00","193.9655617951","108030027.2182300000",
"2020-04-25 00:00","194.1199822592","108042969.2182300000",
"2020-04-26 00:00","193.0421585075","108055901.8432300000",
"2020-04-27 00:00","195.4419900909","108068769.1557300000",
"2020-04-28 00:00","209.7662567497","108081846.5932300000",
"2020-04-29 00:00","208.9219022584","108094633.7182300000",
"2020-04-30 00:00","209.9807026766","108107614.6557300000",
"2020-05-01 00:00","212.7235380719","108120582.0932300000",
"2020-05-02 00:00","208.4411115451","108133450.9057300000",
"2020-05-03 00:00","205.8557503186","108146556.9682300000",
"2020-05-04 00:00","202.881412038","108159591.2182300000",
"2020-05-05 00:00","208.2705974096","108172388.2182300000",
"2020-05-06 00:00","205.5858091367","108185325.2807300000",
"2020-05-07 00:00","211.4094571545","108198325.9682300000",
"2020-05-08 00:00","212.8703792273","108211148.9057300000",
"2020-05-09 00:00","188.0370153245","108224162.4057300000",
"2020-05-10 00:00","188.128212611","108237060.2182300000",
"2020-05-11 00:00","190.9021174009","108249885.3432300000",
"2020-05-12 00:00","197.7519836592","108262879.9682300000",
"2020-05-13 00:00","202.5101430295","108275819.0307300000",
"2020-05-14 00:00","197.938581964","108288692.4682300000",
"2020-05-15 00:00","200.1925940256","108301523.4057300000",
"2020-05-16 00:00","208.7142835439","108314493.1557300000",
"2020-05-17 00:00","211.2343667557","108327332.0932300000",
"2020-05-18 00:00","212.2584880814","108340131.7182300000",
"2020-05-19 00:00","208.4148428347","108353068.5307300000",
"2020-05-20 00:00","199.3966654128","108366005.9057300000",
"2020-05-21 00:00","204.7240013481","108378741.0307300000",
"2020-05-22 00:00","207.7061460066","108391796.4057300000",
"2020-05-23 00:00","205.714029594","108404645.9682300000",
"2020-05-24 00:00","202.5465630487","108417399.5307300000",
"2020-05-25 00:00","197.912374982","108430382.6557300000",
"2020-05-26 00:00","205.9258610863","108443298.1557300000",
"2020-05-27 00:00","214.3037886602","108456150.2807300000",
"2020-05-28 00:00","219.2674028962","108469045.9057300000",
"2020-05-29 00:00","235.1581314694","108481953.9057300000",
"2020-05-30 00:00","233.566015165","108494931.5932300000",
"2020-05-31 00:00","237.8129799293","108507762.5307300000",
"2020-06-01 00:00","233.9299018338","108520707.7807300000",
"2020-06-02 00:00","239.4880589288","108533537.1557300000",
"2020-06-03 00:00","244.7085409315","108546416.7182300000",
"2020-06-04 00:00","241.7279006405","108559413.2807300000",
"2020-06-05 00:00","242.4426112955","108572309.9682300000",
"2020-06-06 00:00","237.2855648881","108585268.1557300000",
"2020-06-07 00:00","242.9187177766","108598117.7182300000",
"2020-06-08 00:00","243.2946456998","108611105.8432300000",
"2020-06-09 00:00","243.9526771789","108623876.2807300000",
"2020-06-10 00:00","239.1980508253","108636818.2182300000",
"2020-06-11 00:00","236.3824234295","108649856.3432300000",
"2020-06-12 00:00","237.2049532927","108662857.6557300000",
"2020-06-13 00:00","235.6975386734","108675932.7807300000",
"2020-06-14 00:00","226.2091807478","108688882.9057300000",
"2020-06-15 00:00","233.0288915024","108701777.8432300000",
"2020-06-16 00:00","231.7610630934","108714634.7807300000",
"2020-06-17 00:00","231.745983771","108727561.9682300000",
