date,avg_gas_cost
2020-03-10 00:00,3993384336.3922000000
2020-03-11 00:00,46538103253.8472000000
2020-03-12 00:00,35486449232.5229000000
2020-03-13 00:00,3294135969.9972000000
2020-03-14 00:00,3193656432.6940000000
2020-03-15 00:00,10899232485.5405000000
2020-03-16 00:00,4126523912.6534000000
2020-03-17 00:00,3700318069.1938000000
2020-03-18 00:00,5463635240.8801000000
2020-03-19 00:00,4458240360.0800000000
2020-03-20 00:00,3574406736.9541000000
2020-03-21 00:00,3448202074.5398000000
2020-03-22 00:00,4151577022.9803000000
2020-03-23 00:00,3886288552.1974000000
2020-03-24 00:00,4019498404.1170000000
2020-03-25 00:00,3328858294.7345000000
2020-03-26 00:00,3214357529.3050000000
2020-03-27 00:00,2746258198.1705000000
2020-03-28 00:00,2556575986.7225000000
2020-03-29 00:00,3179217477.2235000000
2020-03-30 00:00,3336295174.4091000000
2020-03-31 00:00,3398595738.7958000000
2020-04-01 00:00,3530293895.9653000000
2020-04-02 00:00,3496738667.5244000000
2020-04-03 00:00,2816369887.0764000000
2020-04-04 00:00,2635893844.0738000000
2020-04-05 00:00,4435355259.9593000000
2020-04-06 00:00,4212130498.0874000000
2020-04-07 00:00,3837144211.7931000000
2020-04-08 00:00,3699548708.6467000000
2020-04-09 00:00,3908753022.6117000000
2020-04-10 00:00,2895526390.6232000000
2020-04-11 00:00,2774045053.0175000000
2020-04-12 00:00,3740378418.3359000000
2020-04-13 00:00,3949037967.0594000000
2020-04-14 00:00,3678690064.5794000000
2020-04-15 00:00,5392223977.0362000000
2020-04-16 00:00,4016246301.4680000000
2020-04-17 00:00,4490958380.2601000000
2020-04-18 00:00,4009295078.7648000000
2020-04-19 00:00,5260037098.2331000000
2020-04-20 00:00,5463130781.5268000000
2020-04-21 00:00,5490636581.2648000000
2020-04-22 00:00,5615577984.4899000000
2020-04-23 00:00,5544292543.1734000000
2020-04-24 00:00,4563218120.7773000000
2020-04-25 00:00,5028670275.0319000000
2020-04-26 00:00,5184931459.1340000000
2020-04-27 00:00,4600797793.0609000000
2020-04-28 00:00,8196338031.3572000000
2020-04-29 00:00,11798426237.5332000000
2020-04-30 00:00,5902600360.2235000000
2020-05-01 00:00,4303117765.3289000000
2020-05-02 00:00,5181967771.4959000000
