date,supply
2019-08-13 00:00,104838130.3432300000
2019-08-14 00:00,104850981.7807300000
2019-08-15 00:00,104863908.3432300000
2019-08-16 00:00,104876893.4682300000
2019-08-17 00:00,104889792.7182300000
2019-08-18 00:00,104902568.2807300000
2019-08-19 00:00,104915460.2807300000
2019-08-20 00:00,104928385.4682300000
2019-08-21 00:00,104941209.7182300000
2019-08-22 00:00,104954174.9057300000
2019-08-23 00:00,104966829.3432300000
2019-08-24 00:00,104979998.5307300000
2019-08-25 00:00,104992752.5307300000
2019-08-26 00:00,105005608.7182300000
2019-08-27 00:00,105018458.0932300000
2019-08-28 00:00,105031472.2807300000
2019-08-29 00:00,105044329.5307300000
2019-08-30 00:00,105057196.9682300000
2019-08-31 00:00,105070029.0932300000
2019-09-01 00:00,105082921.0307300000
2019-09-02 00:00,105095748.2807300000
2019-09-03 00:00,105108557.3432300000
2019-09-04 00:00,105121482.4057300000
2019-09-05 00:00,105134277.9057300000
2019-09-06 00:00,105147161.4682300000
2019-09-07 00:00,105159992.2182300000
2019-09-08 00:00,105172884.4057300000
2019-09-09 00:00,105185687.0932300000
2019-09-10 00:00,105198586.1557300000
2019-09-11 00:00,105211486.2807300000
2019-09-12 00:00,105224140.0932300000
2019-09-13 00:00,105237047.9057300000
2019-09-14 00:00,105249830.2807300000
2019-09-15 00:00,105262770.0932300000
2019-09-16 00:00,105275654.1557300000
2019-09-17 00:00,105288635.5307300000
2019-09-18 00:00,105301318.2182300000
2019-09-19 00:00,105314248.3432300000
2019-09-20 00:00,105327061.2807300000
2019-09-21 00:00,105339868.4682300000
2019-09-22 00:00,105352793.3432300000
2019-09-23 00:00,105365373.5932300000
2019-09-24 00:00,105378172.2182300000
2019-09-25 00:00,105391003.6557300000
2019-09-26 00:00,105403704.7182300000
2019-09-27 00:00,105416541.0932300000
2019-09-28 00:00,105429404.3432300000
2019-09-29 00:00,105442197.2807300000
2019-09-30 00:00,105455075.5932300000
2019-10-01 00:00,105467774.6557300000
2019-10-02 00:00,105480599.7807300000
2019-10-03 00:00,105493503.2807300000
2019-10-04 00:00,105506409.6557300000
2019-10-05 00:00,105519332.3432300000
2019-10-06 00:00,105532084.7807300000
2019-10-07 00:00,105544812.8432300000
2019-10-08 00:00,105557562.4057300000
2019-10-09 00:00,105569832.4682300000
2019-10-10 00:00,105582576.0932300000
2019-10-11 00:00,105595257.9682300000
2019-10-12 00:00,105608030.9057300000
2019-10-13 00:00,105620828.2807300000
2019-10-14 00:00,105633716.7807300000
2019-10-15 00:00,105646405.1557300000
2019-10-16 00:00,105659030.9057300000
